Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),tamp pos (settimana di riferimento),tamp tot (settimana di riferimento),2.1 (settimana precedente),tamp pos (settimana precedente),tamp tot (settimana precedente),2.2,2.3,2.4,2.4 (valore),2.5,2.5 (valore),Tot RU,Tot RU (valore),2.6,casi con indagine,casi tot,Mese di riferimento,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,Focolai attivi,Focolai attivi settimana precedente,3.5 (nuovi focolai),3.6,3.8,3.9,% prob occ TI > 30%,% prob occ AM > 40%,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Molise,98.1,97.6,100,100,100,12.8%,512,3998,18.8%,224,1191,0,0,1.5,44,2.2,65,3.6,109,100.0%,512,512,ottobre,No,120.6,1.73,1.34,2.14,62,98,31,58,0,15%,10%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Piemonte,68.6,88.6,99.9,99.5,98.5,21.2%,16938,79826,17.2%,11554,67013,6,2,0.6,239,1.3,548,1.8,787,86.9%,5088,5855,ottobre,No,48.3,1.76,1.73,1.79,47.9,3518,2150,2061,4086,25%,44%,più di 50%,più di 50%,Moderata,Alta (sovraccarico in aree mediche ed evidenza di nuovi focolai in RSA/case di riposo/ospedali),Alta,Sì,
Provincia Autonoma di Bolzano/Bozen,92.5,94.8,99.6,100,93.5,29.4%,2482,8442,20.7%,1609,7758,4,5,0.9,49,1.4,74,2.3,123,100.0%,1623,1623,ottobre,No,53.7,1.73,1.62,1.86,36,131,94,113,342,26%,40.30%,più di 50%,più di 50%,Moderata,Alta (sovraccarico in aree mediche ed evidenza di nuovi focolai in RSA/case di riposo/ospedali),Alta,No,
Provincia Autonoma di Trento,100,100,99.7,100,91.3,22.7%,1361,5994,17.7%,845,4761,4,Non calcolabile,1.1,58,1.6,87,2.7,145,100.0%,3308,3308,ottobre,No,64.3,1.54,1.42,1.67,29.7,88,111,23,1322,15%,14%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Puglia,92.5,92.7,99.8,100,99.9,26.5%,4113,15534,21.3%,3091,14527,3,3,0.9,ND,1.4,ND,2.3,ND,92.0%,11746,12767,ottobre,No,50.5,1.56,1.49,1.65,44.2,134,117,79,3657,20%,28%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Sardegna,73.1,62.7,99.7,100,93.4,12.6%,3017,23945,9.5%,2056,21754,4,Non calcolabile,0.4,57.5,1.3,207.2,1.6,264.7,98.5%,2109,2141,ottobre,No,24.5,1.14,1.05,1.23,34.5,327,315,88,235,22%,23%,più di 50%,da 5 a 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Sicilia,81.8,90.4,99.8,100,98.9,12.2%,5686,46705,7.9%,3182,40475,3,1,0.3,159,0.9,446,1.2,605,83.6%,8880,10616,ottobre,No,29.3,1.28,1.23,1.34,23.7,630,504,153,2556,19%,25%,più di 50%,più di 50%,Moderata,Bassa,Alta (molteplici allerte di resilienza),Sì,
Toscana,93.5,100,99.7,100,99.7,22.3%,12752,57111,12.9%,6894,53449,-3,0,0.5,198,0.9,344,1.5,542,39.9%,9685,24295,ottobre,Si,80.9,1.4,1.33,1.48,37.8,1769,1097,234,11732,29%,26%,più di 50%,più di 50%,Alta (segnalata trasmissione non gestibile in modo efficace con misure locali),Bassa,Alta (molteplici allerte di resilienza),No,
Umbria,62.4,87.8,100,100,99.2,31.2%,2174,6971,20.2%,1134,5621,1,1,0.5,42,1.5,131,2,173,95.0%,7876,8291,ottobre,No,43,1.44,1.37,1.53,24.4,263,283,105,3211,40%,39.60%,più di 50%,più di 50%,Moderata,Alta (sovraccarico in aree mediche ed evidenza di nuovi focolai in RSA/case di riposo/ospedali),Alta,No,
Valle d'Aosta/Vallée d'Aoste,19.2,48.2,100,100,98.6,34.9%,1231,3527,22.6%,931,4118,3,1,0.6,8,1.3,16,1.9,24,74.5%,527,707,ottobre,No,19,1.54,1.34,1.73,21.2,129,101,97,376,29%,84%,più di 50%,più di 50%,Non valutabile,Alta (sovraccarico in aree mediche ed evidenza di nuovi focolai in RSA/case di riposo/ospedali),Non valutabile (equiparato a Rischio Alto),Si,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1).
Veneto,44.6,89.4,99.9,100,99.8,32.7%,11133,34027,21.3%,6789,31919,1,1,1,500,1.8,890,2.8,1390,90.3%,29671,32845,ottobre,No,75.8,1.57,1.52,1.62,70.6,6652,3347,3080,3174,12%,14%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
